major_group,item_name,weight,tier,intensity,narrative
Apparel,Boys' and girls' footwear,0.124,light_freight,0.02,"The same boxed, low-density freight profile as adult footwear, on the same truck routes — a lot of trailer space for very little weight."
Apparel,Boys' apparel,0.116,light_freight,0.02,"Imported, containerized, then trucked to store or doorstep. Small garments make the same three road moves as large ones."
Apparel,Infants' and toddlers' apparel,0.103,light_freight,0.02,Light goods on the standard import-and-truck path; freight is a small but real slice of the price.
Apparel,Watches,0.035,light_freight,0.005,"High value, negligible weight, and frequently air-freighted. Along with jewelry, this is about as close to diesel-free as a physical good in the basket gets."
Transportation,New and used motor vehicles,7.204,heavy_freight,0.03,"A finished car weighs two tons and travels by rail and specialised diesel car-hauler, usually both. Its parts made several diesel trips before assembly and it makes at least one more to the dealer lot. At 7.2% of the index this is the largest freight-exposed category outside food."
Transportation,Gasoline (all types),2.895,gasoline_direct,0.0,"The comparison anchor. This is gasoline households pump themselves, and it is essentially gasoline's entire role in the CPI: 2.895% of the index, the number that gets all the attention. Gasoline is a final good here, not an input cost hidden inside anything else in the basket."
Transportation,Motor vehicle insurance,2.754,none,0.0,"A financial product. Premiums track crash frequency, repair costs and litigation. The repairs carry a little freight; the insurance itself burns nothing."
Transportation,Motor vehicle maintenance and repair,1.039,freight_dependent_service,0.02,"Every part on a shop's shelf got there by truck, and the parts distribution network runs several deliveries a day to keep the bays moving."
Transportation,Airline fares,0.881,other_fuel,0.0,"Genuinely fuel-exposed, but to jet fuel rather than diesel. The two come from the same middle-distillate cut and their prices move together, but calling air travel diesel-exposed would be a stretch, so it is broken out separately here."
Transportation,Motor vehicle fees,0.505,none,0.0,"Registration, licensing and parking. Administrative and municipal charges set by policy, not by the cost of goods."
Transportation,Intracity transportation,0.355,diesel_service,0.15,"City buses. Transit fleets remain substantially diesel and diesel-hybrid, and fuel is one of the largest controllable line items in an agency's operating budget."
Transportation,Motor vehicle parts and equipment,0.349,heavy_freight,0.04,"Tires dominate this category, and they are a freight planner's problem: heavy, bulky, and impossible to stack efficiently."
Transportation,Other intercity transportation,0.244,diesel_service,0.15,"Intercity buses, rail and ferries. Motorcoaches run on diesel, locomotives run on diesel-electric drives, and ferries burn marine distillate."
Transportation,Other motor fuels,0.086,direct_diesel,0.95,"This is where consumer diesel actually sits in the CPI: 0.086% of the index, thirty-four times smaller than gasoline. That number is the whole reason diesel gets ignored -- and it counts only the diesel households pump themselves. It says nothing about the diesel burned to deliver everything else they buy."
Transportation,Unsampled public transportation,0.005,diesel_service,0.1,A residual line BLS carries so public transportation sums correctly. Treated with the rest of surface transit.
Medical care,Professional services,3.426,freight_dependent_service,0.01,"Physician, dental and eye care. The labor is local, but the consumables -- gloves, reagents, instruments, drugs -- arrive on a daily medical-supply route."
Medical care,Hospital and related services,2.618,freight_dependent_service,0.015,"Hospitals run on continuous resupply: sterile goods, drugs, linens, food service, medical gases and waste hauling. A hospital loading dock is busier than most warehouses."
Medical care,Medicinal drugs,1.354,light_freight,0.015,"Pharmaceuticals are light and valuable, but they move through a tightly controlled, often temperature-controlled network of frequent, small, time-definite truck deliveries to every pharmacy in the country."
Medical care,Health insurance,0.890,none,0.0,"As the CPI measures it, this is the retained earnings of health insurers rather than a physical product. No freight content at all."
Medical care,Medical equipment and supplies,0.135,light_freight,0.02,"Wheelchairs, walkers, monitors and supplies, shipped from national distributors to pharmacies, clinics and homes."
Recreation,"Club membership for shopping clubs, fraternal, or other organizations, or participant sports fees",0.766,none,0.0,"Gym, warehouse-club and organization dues. This is a fee for the right to walk in the door, not for anything delivered — the goods a warehouse club sells are priced in the food and household categories instead."
Recreation,Admissions,0.704,none,0.0,"Tickets to films, concerts and games, priced on venue capacity and demand. No freight content."
Recreation,Pets and pet products,0.612,cold_chain,0.06,"Pet food is the story here. It is heavy, cheap per pound and bought in bulk -- one of the highest ratios of freight cost to retail price of any consumer good."
Recreation,"Cable, satellite, and live streaming television service",0.606,none,0.0,"Delivered over cable, satellite and broadband. Once the wire is in the ground nothing physical moves, so there is no freight in the monthly bill at all."
Recreation,Pet services including veterinary,0.546,freight_dependent_service,0.015,"Veterinary practices take the same daily supply deliveries as human clinics: drugs, consumables, lab reagents."
Recreation,Toys,0.293,light_freight,0.03,"Almost entirely imported and notoriously bulky for their weight, which makes toys expensive to move relative to what they cost to make."
Recreation,Sports vehicles including bicycles,0.284,heavy_freight,0.05,"Bicycles, boats and off-road vehicles: large, heavy, and shipped part-assembled in packaging that eats trailer space."
Recreation,Sports equipment,0.231,light_freight,0.03,"Bats, weights and camping gear fill a trailer's volume long before they reach its weight limit."
Recreation,Unsampled recreation services,0.214,none,0.0,A BLS residual for recreation services not separately priced. No specific freight mechanism to attribute.
Recreation,"Purchase, subscription, and rental of video",0.188,none,0.0,"Once discs shipped in cases by the millions; now this is overwhelmingly streaming, delivered over the internet. One of the few categories where diesel exposure has genuinely fallen to near zero over time."
Recreation,Fees for lessons or instructions,0.158,none,0.0,"Music, driving and tutoring lessons. Paying for a person's time and expertise in a room that already exists — nothing is manufactured and nothing is shipped."
Recreation,Televisions,0.107,light_freight,0.03,"Large, fragile and low-density. A television takes far more trailer space than its weight suggests, and its fragility keeps it on trucks rather than cheaper modes."
Recreation,Recorded music and music subscriptions,0.082,none,0.0,"Effectively all streaming now, delivered as bits. The vinyl revival is real but far too small to put meaningful freight back into this category."
Recreation,Recreational books,0.060,light_freight,0.04,"Paper is heavy. Books have one of the worst weight-to-value ratios in retail, which is exactly why the industry consolidated into a handful of enormous distribution centers served by dedicated truck fleets."
Recreation,Newspapers and magazines,0.054,light_freight,0.04,"What is left of print still moves by truck against a daily deadline, which is about as freight-sensitive as delivery gets."
Recreation,Audio equipment,0.046,light_freight,0.02,"Speakers and headphones, imported and boxed. Speakers in particular carry heavy magnets and cabinets, so they cost more to move than their size suggests."
Recreation,Music instruments and accessories,0.043,light_freight,0.03,"Instruments are fragile and oddly shaped, which rules out dense packing and keeps them on carefully handled truck freight."
Recreation,Photographers and photo processing,0.037,none,0.0,A service priced on a photographer's time. Processing that once meant shipping film and prints is now almost entirely digital.
Recreation,"Sewing machines, fabric and supplies",0.029,light_freight,0.03,"Bolts of fabric are dense and heavy, and machines are boxed and awkward to stack. Both are trucked, and neither packs efficiently."
Recreation,Photographic equipment and supplies,0.026,light_freight,0.01,"Cameras and lenses are small, valuable and often air-freighted, so they spend little time on a truck relative to what they cost."
Recreation,Other video equipment,0.017,light_freight,0.02,"Streaming boxes, projectors and accessories — light, boxed electronics on the standard port-to-warehouse-to-store road network."
Recreation,Unsampled recreation commodities,0.015,light_freight,0.02,"A BLS residual covering recreation goods not separately priced. They are physical goods, so they ride the same trucks."
Recreation,Unsampled sporting goods,0.012,light_freight,0.03,"A BLS residual for sporting goods not separately priced. Bulky for their weight, like the rest of the category, so they ride the same trucks."
Recreation,Unsampled video and audio,0.006,light_freight,0.02,"A BLS residual for video and audio goods not separately priced. They are physical, boxed electronics, so they move on the same import and distribution routes as the rest."
Recreation,Unsampled photography,0.000,light_freight,0.01,"A BLS residual for photography not separately priced. It carries essentially no weight in the index, but it is grouped with the goods rather than the services."
Recreation,Unsampled recreational reading materials,0.000,light_freight,0.04,A BLS residual for reading material not separately priced. Printed matter is heavy paper on the same truck network as books and magazines.
Education and communication,Information and information processing,3.181,none,0.0,"Wireless and residential phone service, internet access, and the computer hardware that goes with them. The services travel over networks and the hardware is light, valuable and often air-freighted. At 3.2% of the index this is a large, essentially diesel-free block."
Education and communication,"Tuition, other school fees, and childcare",2.564,none,0.0,"Salaries, facilities and administration. Schools do take deliveries, but tuition is priced on staffing and enrollment, not on what arrives at the loading dock."
Education and communication,Postage and delivery services,0.064,diesel_service,0.12,"Parcel and mail delivery, priced directly. Every package moves through diesel line-haul between sorting hubs before it reaches a local van. This is one of the few places in the CPI where households pay for freight explicitly instead of having it buried inside a product price."
Education and communication,Educational books and supplies,0.038,light_freight,0.04,"Textbooks are heavy paper shipped against a hard seasonal deadline, which is the expensive way to move freight — the trucks have to run whether or not they are full."
Other goods and services,Miscellaneous personal services,0.922,none,0.0,"Legal, financial and funeral services, priced on professional time and billed by the hour. Nothing here moves on a road."
Other goods and services,Personal care services,0.676,none,0.0,"Haircuts, salons and spas — labor sold by the appointment. The products on the shelf behind the chair are counted under personal care products instead."
Other goods and services,Personal care products,0.674,light_freight,0.03,"Shampoo, soap and cosmetics are mostly water by weight, shipped in heavy liquid form to every drugstore and big-box shelf in the country."
Other goods and services,Cigarettes,0.327,light_freight,0.02,"Light, valuable, and moved on secure, frequent truck routes to convenience stores. Freight is a small share of a price dominated by excise tax."
Other goods and services,Miscellaneous personal goods,0.184,light_freight,0.02,"Luggage, handbags and small personal items. Almost entirely imported, and luggage in particular is mostly air inside a shell, so it burns trailer space rather than payload."
Other goods and services,Tobacco products other than cigarettes,0.114,light_freight,0.02,"Cigars, pipe and smokeless tobacco, moving on the same secure, frequent truck routes to convenience stores as cigarettes."
Other goods and services,Unsampled tobacco and smoking products,0.005,light_freight,0.02,A BLS residual for tobacco products not separately priced. It follows the same convenience-store delivery network as the rest of the category.
